,train_average,gbest,validate_average
0,0.159260464893184,0.1252334629015704,0.11139687905530593
1,0.18134342186504046,0.12119056514576351,0.12912933906500038
2,0.12229647166952977,0.12119056514576351,0.12155197511942827
3,0.12370392290619572,0.12119056514576351,0.10248525669677493
4,0.12186471812338497,0.12119056514576351,0.11905179264254782
5,0.11670999058876413,0.11665406631069972,0.16613418447239542
6,0.11930496918684148,0.11665406631069972,0.14234963411659948
7,0.11950213708649476,0.11665406631069972,0.14037082032608514
8,0.12491608406859406,0.11665406631069972,0.09158955297270066
9,0.12408601745821815,0.11665406631069972,0.09951702155237664
